,id,native,language,text
801,1337,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}, {'language': 'German', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Russian', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Japanese', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","currently studying english and russian literature at university! i’ve always been interested in learning new languages and all the stuffs related to other countries and maybe this could be the right place to improve and practice my (poor) skills, AND the most important thing -&gt; making new friends online! p e e k a b o o - we can discuss about everything you want, i /unfortunately/ have a lot of interests! if you want an hand with italian language, i'm here!"
802,1339,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello, I'm Andreas, i'm 30 years old, i come from Italy, I will be in dublin for all month of August, i would like to improve my English,through face to face conversation,I think is the best way to improve it, in return I offer my Italian mother tongue,I can send pictures and I can meet in person to talk, and present, right for a first impact, so deciding if we can do a tandem together (English to Italian) friendly greetings Andreas."
803,1342,Italian,"[{'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]","Philosophy, Art, Music, Writing"
804,1343,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm looking for someone to practice my English face to face . I'm open minded with many interests, I like practice sport and meet new people."
805,1345,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm a friendly and kind girl from Italy. I love travel the world for know other cultures. I'm a sport addicted, I practice Crossfit. I work in the cosmetic world, so I really like beauty and wellness. I want to practice my english for my job, for increase my job opportunities and meet people from all planet."
806,1346,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I've learned english years ago at school and I would really like to improve my conversation skills with this exchange, cause in my everyday life I don't have many opportunities to speak and listen english (and when that happens I find it a little difficult...). If someone is learning italian and wants to do the same with my language I'll be very happy to spare some time"
807,1347,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Good morning, I would like to improve my language and at the beging I would to try write with a english pen-pal and next if it's possible to face to face on line. In change I am available teaching Italian. Thans Tony"
808,1350,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'Chinese (Mandarin)', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",":) I want to improve my english,spanish and chinese. I hope to make new friends here to help each other with languages :)"
810,1355,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'French', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'Korean', 'level': 6.428571428571429, 'proficiency': 'Beginner'}]","I'm Lia from Italy. Sometimes people say that I'm a cold person but I just don't like to speak about myself first. Once we have broke the ice, I'm kinda of loud, active and very friendly. I'm here to improve my English but if I can help to learn Italian or have a chat, let me know! Don't be shy, free to contact me!"
811,1356,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]","Uuuuh a description of myself. I don't know, I'm lost inside and I'd like to improve my languages skills. I perceive it as my only objective."
812,1357,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Ciao, I'm italian, from the south. I love helping english people with learning italian, in exchange I'd like to improve my english. We can talk about everything. I am very committed to teaching italian, preparing helpful notes. So let me know if you want to really learn italian !"
813,1358,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 19.285714285714285, 'proficiency': 'Elementary'}]",I am here to improve my English. Contact me if interested in a language exchange.
814,1359,Italian,"[{'language': 'Finnish', 'level': 19.285714285714285, 'proficiency': 'Elementary'}, {'language': 'Spanish', 'level': 70.71428571428572, 'proficiency': 'Advanced'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I am an Italian spending a year here in Finland involved in a volunteering project. I'm fascinated by this country's culture and nature, and I'm now striving to learn the language in order to integrate thoroughly and stop using English as a means of communication with native people! I'm currently looking for someone who could help me in this process, and in return, I am willing to give opportunities to practice Italian, Spanish, and/or English!"
815,1360,Italian,"[{'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'French', 'level': 45, 'proficiency': 'Intermediate'}]","I'm an Italian student of languages at University. I'm looking for someone to practice Spanish, but I also study English and French!"
816,1361,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm Italian and I'd like to practice my English for travelling and meeting/chatting with people of other countries. I'm happy to help with your Italian."
817,1362,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I am an Italian girl and I would like to find someone to have a conversation with to improve my English level."
818,1363,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hi, I'm Laura, from Italy. If you want to learn something about Italy and italian language I'm available to teach it to you :) Let me know!"
819,1364,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I want to pratiche my english ti improve in the real language use and to have advices abaoi how to do It from native speaker. I would like to help the others with learning of italian language too
820,1365,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","At the moment I have been retired for three years and previously worked as a teacher of painting disciplines in an art school in Italy.When I was in service as teacher I used to have partnership with different school in europe, so I have given to my students several opportunity to relate with different reality, and consequently I had numerous occasion to use my english knowing. Now I have decided to take the opportunity to relate by people spoken english whom needs to improve their Italian."
821,1366,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I'd like to improve English conversation for working purpose. I like the idea to learn and teach at the same time.
822,1367,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I'm here because I would like to learn to speak english fluently. In return I'm extremely available to teach my language, italian. Don't hesitate to contact me"
823,1369,Spanish<br/>Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","Hello everyone, I'm italian but I live in Ireland. I would like to improve my English. I can teach you some Italian (or Spanish) with fun and enthusiam."
824,1372,Italian,"[{'language': 'Arabic', 'level': 32.142857142857146, 'proficiency': 'Pre-intermediate'}, {'language': 'French', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'German', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}, {'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I would really like to help anybody to learn italian and french that I am learning in the University. Right now I am trying to improve arabic and french. I also like discovering new cultures.
825,1373,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",I need to improve my English because some important changes in my job request me to better approach conversation in English language. And also because I need to better understand movies and tv series in the original language.
826,1374,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]",Just willing to test my Englis. Just interested in meeting new people over the world.
827,1375,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}]","I would like to find somebody with whom I could practice English. In change, I can help you with your Italian :)"
829,1377,Italian,"[{'language': 'English', 'level': 45, 'proficiency': 'Intermediate'}, {'language': 'Spanish', 'level': 57.85714285714286, 'proficiency': 'Upper-Intermediate'}]","Hi everybody hope share nice practice languages times with easygoing people, let's improve it :-)"
